    4096 ,      8 ,      62.71
    4096 ,     32 ,      62.59
    4096 ,     64 ,      32.97
    4096 ,    128 ,      62.45
    4096 ,    256 ,      65.74
   16384 ,      8 ,     240.02
   16384 ,     32 ,     243.86
   16384 ,     64 ,     214.72
   16384 ,    128 ,     184.44
   16384 ,    256 ,     264.68
   65536 ,      8 ,     185.09
   65536 ,     32 ,     259.11
   65536 ,     64 ,     266.23
   65536 ,    128 ,     270.08
   65536 ,    256 ,     180.59
  262144 ,      8 ,     318.12
  262144 ,     32 ,     534.83
  262144 ,     64 ,     365.54
  262144 ,    128 ,     489.54
  262144 ,    256 ,     514.95
 1048576 ,      8 ,     937.76
 1048576 ,     32 ,    1984.48
 1048576 ,     64 ,    1266.66
 1048576 ,    128 ,    1206.31
 1048576 ,    256 ,    1700.96
 4194304 ,      8 ,    2026.81
 4194304 ,     32 ,    3208.39
 4194304 ,     64 ,    3106.17
 4194304 ,    128 ,    4689.40
 4194304 ,    256 ,    4498.92
